gene_list	this_sample
CACHD1	1.8
RAVER2	10.0
JAK1	88.3
AK4	18.6
DNAJC6	4.4
LEPROT	69.5
LEPR	5.4
PDE4B	36.3
SGIP1	35.4
TCTEX1D1	0.7
INSL5	0.0
WDR78	19.1
MIER1	47.2
SLC35D1	22.6
C1orf141	0.0
IL23R	0.0
IL12RB2	1.0
SERBP1	86.9
GADD45A	8.7
GNG12	61.4
DIRAS3	0.3
WLS	25.1
RPE65	0.0
DEPDC1	2.9
LRRC7	4.0
LRRC40	13.2
SRSF11	166.7
ANKRD13C	13.8
HHLA3	2.7
CTH	1.8
PTGER3	2.1
ZRANB2	79.7
NEGR1	0.3
LRRIQ3	0.0
FPGT	11.5
FPGT-TNNI3K	1.7
TNNI3K	1.1
LRRC53	0.0
ERICH3	0.1
CRYZ	50.6
TYW3	12.2
LHX8	0.0
SLC44A5	0.2
ACADM	35.1
RABGGTB	81.7
MSH4	0.6
ASB17	0.0
ST6GALNAC3	1.5
ST6GALNAC5	3.4
PIGK	15.4
AK5	1.9
AC118549.1	38.1
USP33	68.5
MIGA1	22.3
NEXN	13.4
FUBP1	195.6
DNAJB4	24.9
GIPC2	3.7
PTGFR	0.2
IFI44L	67.6
IFI44	69.6
ADGRL4	10.4
ADGRL2	12.0
TTLL7	2.1
PRKACB	32.4
SAMD13	2.9
DNASE2B	0.2
RPF1	18.9
GNG5	44.6
SPATA1	9.8
CTBS	15.3
SSX2IP	19.0
LPAR3	0.9
MCOLN2	8.0
WDR63	0.5
MCOLN3	5.0
SYDE2	5.1
C1orf52	15.2
BCL10	83.3
DDAH1	34.7
CCN1	75.7
ZNHIT6	10.0
COL24A1	1.4
ODF2L	73.4
CLCA2	0.1
CLCA1	0.0
CLCA4	0.1
SH3GLB1	46.4
SELENOF	122.8
HS2ST1	11.7
AC093155.3	1.2
LMO4	38.4
PKN2	90.7
GTF2B	28.1
KYAT3	20.2
RBMXL1	16.4
GBP3	129.7
GBP1	99.0
GBP2	79.6
GBP7	2.7
GBP4	41.1
GBP5	16.7
GBP6	1.4
LRRC8B	5.9
LRRC8C	10.2
AC093423.3	0.0
LRRC8D	19.7
ZNF326	34.2
BARHL2	0.0
ZNF644	73.6
HFM1	0.5
CDC7	5.8
TGFBR3	17.3
BRDT	0.0
EPHX4	3.9
SETSIP	0.2
BTBD8	10.2
C1orf146	0.2
GLMN	10.7
RPAP2	11.4
GFI1	0.7
EVI5	36.4
RPL5	319.0
DIPK1A	10.4
MTF2	34.9
TMED5	34.0
CCDC18	10.2
DR1	29.0
FNBP1L	46.1
BCAR3	39.8
DNTTIP2	20.6
GCLM	10.4
ABCA4	0.1
ARHGAP29	34.8
ABCD3	47.7
F3	374.6
SLC44A3	27.8
CNN3	56.7
ALG14	5.8
TLCD4	0.9
TLCD4-RWDD3	7.3
RWDD3	22.3
PTBP2	33.2
DPYD	104.2
SNX7	45.1
PLPPR5	0.1
PLPPR4	4.4
PALMD	6.2
FRRS1	7.3
AGL	10.3
SLC35A3	58.8
AC118553.2	6.0
MFSD14A	22.9
SASS6	6.1
TRMT13	24.6
LRRC39	4.9
DBT	5.8
RTCA	34.2
CDC14A	9.9
GPR88	0.0
VCAM1	15.3
EXTL2	11.8
SLC30A7	31.4
DPH5	20.0
S1PR1	6.7
OLFM3	0.0
COL11A1	60.8
RNPC3	32.5
AMY2B	10.6
AMY2A	0.5
AMY1A	0.2
AMY1B	0.1
AMY1C	0.1
PRMT6	7.2
NTNG1	0.0
VAV3	6.7
SLC25A24	36.6
NBPF4	0.0
NBPF6	0.0
FAM102B	18.1
HENMT1	5.4
PRPF38B	57.3
FNDC7	0.1
STXBP3	74.4
AKNAD1	1.1
GPSM2	19.7
CLCC1	23.6
WDR47	9.5
TAF13	23.2
TMEM167B	22.6
C1orf194	0.4
KIAA1324	0.3
SARS1	92.2
CELSR2	8.8
PSRC1	17.2
MYBPHL	9.4
SORT1	83.0
PSMA5	50.1
SYPL2	0.6
ATXN7L2	5.0
CYB561D1	12.4
AMIGO1	3.2
GPR61	0.2
GNAI3	21.3
GNAT2	5.2
AMPD2	45.6
GSTM4	16.9
GSTM2	28.9
GSTM1	1.6
GSTM5	0.4
GSTM3	11.9
EPS8L3	233.7
CSF1	39.6
AHCYL1	50.2
STRIP1	47.5
ALX3	1.1
UBL4B	0.0
SLC6A17	0.3
KCNC4	33.9
RBM15	37.3
SLC16A4	83.2
LAMTOR5	31.6
PROK1	0.0
KCNA10	1.2
KCNA2	1.1
KCNA3	0.7
CD53	51.1
LRIF1	20.7
DRAM2	44.6
CEPT1	53.9
DENND2D	55.1
CHI3L2	2.6
CHIA	0.0
PIFO	0.1
OVGP1	2.3
WDR77	26.8
ATP5PB	39.7
C1orf162	14.5
TMIGD3	4.0
ADORA3	10.0
RAP1A	23.6
INKA2	4.8
DDX20	12.9
KCND3	0.2
CTTNBP2NL	53.5
